file,Assays,treatment,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c46,Experiment 1,highP_control,25.05.22,day 16,jpg,122.86801005637700,152.15549291482600,106.5079612981870,1.3266907777330100,-37.46750723754380,1.5075102906929900,0.39880195256292900,0.699994191848259,12689910,11703485,986425,991947,6215943,1120.6941232626200,1447.8239464072100,1273.249988387730,13355.782971419800,0.47604076560457700,0.09536809372288110,0.15869273576028600,1.1371089413796400
hP_c47,Experiment 1,highP_control,25.05.22,day 16,jpg,123.2104762471020,152.85165586539000,106.62102384208300,1.3301192900544700,-37.93590582079790,1.5036245357497900,0.3994209138474180,0.6975457559712650,12689910,12057953,631957,665087,2551668,897.0131788174570,1120.710790215930,1067.309828686520,8279.543289325510,0.30500481135480100,0.06524814567020190,0.24766427293832900,1.050033233175710
hP_c48,Experiment 1,highP_control,25.05.22,day 16,jpg,119.8243959929290,149.13794932233400,101.67106658809700,1.346645638555940,-38.390218031820900,1.4851717057092200,0.40238668326324700,0.6817249871684490,12689910,12052242,637668,652039,7005720,901.057220165391,1334.8262168288500,1092.6775549185600,9863.425540319420,0.5743759744933950,0.06283714950789060,0.09102105136945240,1.2216103559739900
hP_c49,Experiment 1,highP_control,25.05.22,day 16,jpg,125.01186604023600,155.5592699674740,111.70750511986500,1.3142926935393400,-37.1995843874232,1.5217310495838500,0.39655299488223600,0.7181025286581910,12689910,12063901,623741,636832,9183320,891.1631202381840,1705.0359326823100,1186.1937864558800,11409.248916810300,0.7183322872488700,0.05990720516153520,0.06792107865129390,1.4374008295698700
hP_c50,Experiment 1,highP_control,25.05.22,day 16,jpg,133.58672613445700,163.8161135889360,119.7808830148530,1.2931101504170400,-37.13230901428050,1.546658650351620,0.3926713931063870,0.73119109219878,12689910,11769935,918186,918186,4695650,1081.2357396156500,1926.039031628050,1368.222112008600,12148.604255869600,0.7038170273363640,0.11156150580925700,0.19553970163875100,1.4076947117895500
hP_c51,Experiment 1,highP_control,30.05.22,day 21,jpg,124.36903189089200,157.17522713876300,107.71594951116900,1.3544627161072100,-41.13273643773250,1.4766002609123900,0.4037793324109550,0.6853239627646370,12689910,10840702,1848728,1912052,4257978,1534.2338795174400,1957.9123378243700,1672.182220157460,15802.986073587600,0.5201681249580990,0.2593161350628480,0.43417979144091400,1.1708725964327
hP_c52,Experiment 1,highP_control,30.05.22,day 21,jpg,101.13291155718700,128.86547423780900,85.14626780181730,1.3835735660983800,-35.72588455830670,1.4455320981882600,0.40890896534984700,0.6607376281771800,12689910,11237377,1442881,1488885,6229237,1355.408848852260,1670.7798001288300,1606.2724556212300,19890.733331632700,0.2751864523843120,0.1277435477105280,0.23163045490162000,1.0401596530413300
hP_c53,Experiment 1,highP_control,30.05.22,day 21,jpg,122.36735995916800,154.3310259027690,105.61847645782800,1.3538650323916700,-40.33810769427080,1.4772521279073900,0.40367308144961800,0.6843632110912660,12689910,10328355,2355607,2434699,10104683,1731.8348605611800,2416.6482866516500,2114.081539956480,22778.237948990700,0.48448599973566700,0.21580474657263500,0.23312032648624400,1.1431197146262300
hP_c54,Experiment 1,highP_control,30.05.22,day 21,jpg,126.0494039896210,158.92841793707400,108.46758433344100,1.3553680615933900,-41.669923775543300,1.4756139359287900,0.4039402046849540,0.6824933246135240,12689910,10834801,1853398,1923825,5893970,1536.1704416284900,2050.1634979479600,1802.4505163980300,18241.377992573400,0.4765008026200420,0.26484700260574600,0.31445663958248900,1.1374312244892800
hP_c55,Experiment 1,highP_control,30.05.22,day 21,jpg,120.18857772761900,149.39177449410800,108.16125561008900,1.3084465384581300,-35.21685782525400,1.5285301624602800,0.39548668030402000,0.7240107828985930,12689910,11246563,1431534,1507986,11295560,1350.068775445500,2110.9824167879100,1946.2191140366700,26860.00245097860,0.38731018611685,0.1189212458496930,0.12673422123383000,1.0846581464352700
