file,Assays,treatment,SynCom9,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
lP_c11,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,66.19047619047620,95.58809523809520,96.83571428571430,1.1726716420090300,-14.075000000000000,1.7055072608165000,0.36961645399473400,1.0130520337758700,23982000,23940200,41800,41800,1394006,230.69766572275900,1381.2391989580000,752.8695173530460,2103.154328932550,0.8383917307092280,0.013366008641220500,0.029985523735192000,1.8346329172871700
lP_c12,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,74.17084639498430,107.07915360501600,112.07993730407500,1.1498384219207600,-13.9537617554859,1.7393748216023900,0.36504679539072800,1.0467017484795000,23982000,23855208,126792,129392,2309713,401.7917226076970,1748.3127974755600,863.839877097845,5632.333044482740,0.8694055580429390,0.04474093259677870,0.05489513199258960,2.023885263724100
lP_c13,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,81.56386292834890,110.91588785046700,112.65576323987500,1.1421697182590300,-13.806074766355100,1.7510532524435500,0.36349714390725700,1.0156864397258700,23982000,23918080,63920,63920,2004618,285.2813903840760,1308.1959584709400,688.1137842920810,3399.480230740360,0.8504832864966190,0.018683601164743600,0.031886374361599100,1.901133196767440
lP_c14,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,80.9483541430193,111.29284903518700,113.39897843359800,1.1452984464431700,-14.11918274687860,1.7462697222817200,0.3641302934983230,1.018924211363710,23982000,23807148,174852,175052,1115137,471.83522640433800,899.4958328783610,769.0277538925800,5709.102597104440,0.5187034700836240,0.07011946439527920,0.15679867137401100,1.1696532775642900
lP_c15,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,89.89870340356560,119.37925445705000,132.8290113452190,1.0719748513713100,-8.015397082658030,1.865715410619490,0.34895300360053100,1.1126641052445800,23982000,23859339,122661,122661,876079,395.19215047462600,896.6480525675630,520.7137110651940,4180.007142674940,0.8140936117390700,0.0707065408493247,0.14001134600875000,1.7219597516135000
lP_c16,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,80.3437959784208,103.81804806277600,115.86512996566900,1.058239808033590,-5.713585090730750,1.8899307933958500,0.3460290475762360,1.1160403429624200,23982000,23779228,202772,202772,1974786,508.1115320134340,1081.6303947790900,861.5051632692390,7245.58787847868,0.6046549041016680,0.06153024516876880,0.102680492974935,1.2555123763559600
lP_c17,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,102.72509225092300,118.65359778597800,137.8809963099630,0.9862892372813120,1.6494464944649400,2.027802721961120,0.3302725084256140,1.1620464855913300,23982000,23766479,215521,215821,1758841,523.84144540201,1176.169387228630,686.4500079789520,8018.156420973600,0.8120183321633550,0.06189333213866430,0.12253580624968400,1.7134086583981700
lP_c18,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,70.83345246604720,98.86132952108650,103.92637598284500,1.1313965045462200,-11.481415296640500,1.7677268684882200,0.3613073281852480,1.0512338493351700,23982000,23843018,138982,139182,3089139,420.66302239011000,2099.7622058844900,934.9899853754800,5566.776695296640,0.8953895150070120,0.02586915325624070,0.04499052972365440,2.245759033495160
lP_c19,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,82.34693877551020,106.47230320699700,115.87026239067100,1.0742993300337600,-7.363702623906700,1.8616785323110600,0.3494452604333620,1.0882667031763400,23982000,23914058,67942,67942,651011,294.1197734739990,865.2748842434110,457.7367325775350,3017.237590053240,0.8486172716407010,0.04161735700197240,0.10436382795375200,1.890333072836450
lP_c20,Experiment 2,lowP_control,no,20.06.22,day 07,JPG,79.71611253196930,102.55754475703300,113.8005115089510,1.0599352408643400,-5.79923273657289,1.8869077306733200,0.3463913963633220,1.1096259351620900,23982000,23943220,38780,38780,365971,222.20762710768900,840.1863913228470,283.28626263469700,2137.195959492890,0.9414435170696500,0.05118593508704780,0.10596468026155100,2.965856457382420
